lat,long,restriction_score,neighbourhood group,host_type,id
40.75362,-73.98377,1,Manhattan,Professional,1002102
40.76076,-73.98867,2,Manhattan,Individual,1007964
40.7353,-74.00525,2,Manhattan,Individual,1009621
40.70837,-73.95352,1,Brooklyn,Individual,1010173
40.69169,-73.97185,2,Brooklyn,Individual,1010725
40.67592,-73.94694,1,Brooklyn,Individual,1011830
40.79685,-73.94872,1,Manhattan,Professional,1012382
40.71842,-73.95718,1,Brooklyn,Individual,1012934
40.68069,-73.97706,2,Brooklyn,Professional,1013487
40.76715,-73.98533,1,Manhattan,Individual,1016800
40.82245,-73.95104,2,Manhattan,Professional,1018457
40.72219,-73.93762,1,Brooklyn,Professional,1019562
40.6831,-73.95473,1,Brooklyn,Professional,1020667
40.71401,-73.98917,1,Manhattan,Professional,1023428
40.69673,-73.97584,1,Brooklyn,Individual,1025085
40.81175,-73.94478,1,Manhattan,Individual,1026190
40.74771,-73.9474,1,Queens,Individual,1027294
40.68111,-73.95591,1,Brooklyn,Individual,1027846
40.68554,-73.9409,1,Brooklyn,Individual,1028399
40.68043,-73.93934,1,Brooklyn,Professional,1029503
40.73506,-73.95392,1,Brooklyn,Individual,1031160
40.72298,-73.98474,1,Manhattan,Professional,1039997
40.72162,-73.98008,2,Manhattan,Individual,1041102
40.7114,-73.98794,1,Manhattan,Individual,1048282
40.71833,-73.95748,1,Brooklyn,Individual,1049386
40.68413,-73.92357,1,Brooklyn,Professional,1056566
40.68157,-73.98989,3,Brooklyn,Individual,1062089
40.7288,-73.98192,2,Manhattan,Individual,1063746
40.7254,-73.98157,1,Manhattan,Individual,1064851
40.74294,-73.98009,1,Manhattan,Individual,1065403
40.66831,-73.98604,1,Brooklyn,Individual,1067612
40.77842,-73.97556,1,Manhattan,Individual,1069269
40.72245,-73.98527,1,Manhattan,Individual,1069821
40.71923,-73.96468,3,Brooklyn,Individual,1070926
40.778,-73.94822,2,Manhattan,Individual,1071478
40.76754,-73.98399,1,Manhattan,Professional,1075897
40.63188,-73.93248,1,Brooklyn,Individual,1077001
40.74028,-73.83168,2,Queens,Individual,1080867
40.68281,-73.93524,1,Brooklyn,Professional,1081420
40.71165,-73.96087,2,Brooklyn,Professional,1083629
40.79295,-73.93997,2,Manhattan,Individual,1086943
40.82704,-73.94907,2,Manhattan,Individual,1093570
40.64524,-74.08088,2,Staten Island,Individual,1095227
40.71045,-73.9677,1,Brooklyn,Individual,1096884
40.70666,-74.01374,1,Manhattan,Individual,1097989
40.82374,-73.9373,3,Manhattan,Individual,1100750
40.68863,-73.97691,1,Brooklyn,Professional,1101302
40.71627,-73.9587,1,Brooklyn,Individual,1102959
40.74031,-73.99999,2,Manhattan,Individual,1106273
40.76307,-73.99665,2,Manhattan,Individual,1106825
40.71882,-73.98852,2,Manhattan,Individual,1107378
40.77333,-73.95199,1,Manhattan,Professional,1108482
40.76244,-73.99271,1,Manhattan,Individual,1110691
40.69546,-73.93503,2,Brooklyn,Individual,1111244
40.71722,-73.87856,1,Queens,Professional,1111796
40.70234,-73.89816,1,Queens,Professional,1112348
40.7195,-73.95976,1,Brooklyn,Professional,1113453
40.80234,-73.95603,1,Manhattan,Individual,1114558
40.83075,-73.93058,1,Bronx,Professional,1116214
40.72773,-73.99134,3,Manhattan,Individual,1118424
40.81219,-73.94499,1,Manhattan,Professional,1121737
40.73012,-73.99053,1,Manhattan,Individual,1124499
40.7403,-73.98498,3,Manhattan,Individual,1125051
40.70411,-73.89934,1,Queens,Professional,1128365
40.79163,-73.94573,1,Manhattan,Professional,1131679
40.72654,-73.98049,1,Manhattan,Individual,1133336
40.80021,-73.96071,1,Manhattan,Individual,1133888
40.71445,-73.9908,2,Manhattan,Professional,1136650
40.63627,-74.08543,1,Staten Island,Professional,1139963
40.70763,-73.95177,3,Brooklyn,Professional,1142725
40.72185,-73.98246,1,Manhattan,Professional,1147143
40.6761,-73.9529,1,Brooklyn,Individual,1151009
40.68276,-73.95264,1,Brooklyn,Individual,1153771
40.71368,-73.9626,1,Brooklyn,Individual,1154323
40.71069,-73.95175,1,Brooklyn,Individual,1155428
40.70863,-73.94641,1,Brooklyn,Individual,1155980
40.67846,-73.99443,2,Brooklyn,Individual,1157637
40.6715,-73.94808,1,Brooklyn,Professional,1158189
40.81322,-73.95306,3,Manhattan,Individual,1160398
40.68076,-73.9896,1,Brooklyn,Professional,1161503
40.71492,-73.96282,2,Brooklyn,Individual,1162608
40.80393,-73.95838,2,Manhattan,Individual,1163160
40.78,-73.98249,1,Manhattan,Individual,1167578
40.86713,-73.92811,1,Manhattan,Individual,1168683
40.71015,-73.96101,1,Brooklyn,Individual,1174206
40.80892,-73.93985,4,Manhattan,Professional,1175311
40.80276,-73.9567,1,Manhattan,Individual,1175863
40.77635,-73.93426,1,Queens,Individual,1176415
40.68674,-73.98876,1,Brooklyn,Individual,1180281
40.72329,-73.98486,2,Manhattan,Individual,1181938
40.73738,-73.95482,2,Brooklyn,Professional,1183043
40.67542,-73.98142,3,Brooklyn,Professional,1183595
40.72451,-73.98094,1,Manhattan,Individual,1188566
40.66966,-73.94735,4,Brooklyn,Professional,1191327
40.71965,-73.98766,2,Manhattan,Professional,1191880
40.68613,-73.96536,1,Brooklyn,Professional,1192432
40.67174,-73.95663,1,Brooklyn,Individual,1195746
40.69465,-73.95458,2,Brooklyn,Individual,1196850
40.85295,-73.93361,1,Manhattan,Individual,1200164
40.71125,-73.95613,1,Brooklyn,Individual,1201821
40.73861,-73.95485,2,Brooklyn,Professional,1203478
40.67086,-73.94872,1,Brooklyn,Professional,1205135
40.82773,-73.95231,1,Manhattan,Professional,1205687
40.77944,-73.98567,3,Manhattan,Individual,1207344
40.67539,-73.96093,1,Brooklyn,Individual,1208449
40.69088,-73.97307,2,Brooklyn,Professional,1210105
40.67555,-73.95057,1,Brooklyn,Professional,1210658
40.66527,-73.9886,1,Brooklyn,Professional,1211762
40.71895,-73.99434,1,Manhattan,Professional,1212315
40.67705,-73.94925,1,Brooklyn,Professional,1215076
40.69263,-73.99438,1,Brooklyn,Individual,1215628
40.74412,-74.00208,2,Manhattan,Individual,1216733
40.73067,-73.98702,1,Manhattan,Individual,1217285
40.70665,-73.94061,1,Brooklyn,Individual,1217838
40.71109,-73.94332,1,Brooklyn,Individual,1225570
40.72212,-73.94254,1,Brooklyn,Individual,1229436
40.67456,-73.95151,2,Brooklyn,Individual,1229988
40.6755,-73.95878,1,Brooklyn,Individual,1231093
40.6858,-73.9828,1,Brooklyn,Individual,1232197
40.65749,-73.97675,1,Brooklyn,Individual,1237720
40.72831,-74.00177,2,Manhattan,Individual,1238825
40.79765,-73.96245,1,Manhattan,Individual,1239930
40.7102,-73.94495,1,Brooklyn,Professional,1242691
40.81156,-73.94571,1,Manhattan,Professional,1244348
40.7385,-73.91806,1,Queens,Professional,1245453
40.82426,-73.9463,2,Manhattan,Professional,1247110
40.71534,-73.95914,1,Brooklyn,Individual,1249319
40.74346,-73.99882,1,Manhattan,Individual,1252633
40.72351,-73.99683,5,Manhattan,Individual,1259260
40.74,-73.91901,1,Queens,Professional,1260917
40.67853,-73.98089,2,Brooklyn,Individual,1264231
40.77886,-73.98042,1,Manhattan,Individual,1265335
40.66085,-73.98537,1,Brooklyn,Individual,1266440
40.73476,-73.98452,1,Manhattan,Individual,1274725
